x,P+,thau
0.0,0.0,0.0
0.02,0.027,10866.645
0.04,0.039,15729.93
0.06,0.059,25629.349
0.08,0.096,39676.431
0.1,0.112,39391.133
0.12,0.127,46827.249
0.14,0.141,52079.436
0.16,0.184,58175.303
0.18,0.188,65743.948
0.2,0.191,72209.186
0.22,0.234,72212.259
0.24,0.251,78206.347
0.26,0.273,82433.877
0.28,0.263,88313.84
0.3,0.309,90823.364
0.32,0.313,90524.951
0.34,0.357,94926.028
0.36,0.355,95188.195
0.38,0.382,97535.984
0.4,0.39,96318.707
0.42,0.42,98365.171
0.44,0.403,96602.856
0.46,0.455,104771.264
0.48,0.49,108135.934
0.5,0.511,104603.12
0.52,0.535,103068.201
0.54,0.54,104397.268
0.56,0.568,96895.825
0.58,0.576,104372.821
0.6,0.586,99222.264
0.62,0.63,98476.922
0.64,0.653,91186.14
0.66,0.636,91039.749
0.68,0.668,86820.001
0.7,0.707,83355.004
0.72,0.721,84836.015
0.74,0.705,80953.705
0.76,0.775,74908.301
0.78,0.792,71467.369
0.8,0.797,67357.138
0.82,0.821,63468.688
0.84,0.842,57353.122
0.86,0.886,48037.317
0.88,0.883,47611.855
0.9,0.902,44088.056
0.92,0.938,29462.537
0.94,0.944,25250.89
0.96,0.961,16010.94
0.98,0.98,9216.493
1.0,1.0,0.0
